item_name,category,report_bucket,unit_price_new,used_multiplier,price_entry,notes
Light Jacket,clothing_children,clothing,15.00,0.75,fixed,Ages 4-18
Coat,clothing_children,clothing,50.00,0.75,fixed,Ages 4-18
Shoes,clothing_children,clothing,20.00,0.75,fixed,Ages 4-18
Belt,clothing_children,clothing,20.00,0.75,fixed,Ages 4-18
Top / Onesie,clothing_infant,clothing,6.00,0.75,fixed,
Pants,clothing_infant,clothing,7.00,0.75,fixed,
Sleeper,clothing_infant,clothing,8.00,0.75,fixed,
Outfit,clothing_infant,clothing,8.00,0.75,fixed,
Blanket,clothing_infant,clothing,8.00,0.75,fixed,
Swaddle,clothing_infant,clothing,5.00,0.75,fixed,
Light Jacket,clothing_infant,clothing,10.00,0.75,fixed,
Coat,clothing_infant,clothing,15.00,0.75,fixed,
Shoes,clothing_infant,clothing,10.00,0.75,fixed,"Last row visible in the source photo - confirm the infant list does not continue past this."
